"id";"name";"slug";"description";"metaDescription";"metaKeywords";"price";"image_url";"quantity";"ProductStatus";"isDeleted";"createdAt";"updatedAt"
1;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent1.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
2;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent2.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
3;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent3.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
4;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
5;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
6;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
7;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent1.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
8;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent1.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
9;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent1.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
10;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
11;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
12;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
13;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
14;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
15;"Ventelators";"ventelators";"Ventelators Breathing Device";"Ventelators";"Ventelators";1200.0;"vent4.jpg";1000;"active";0;"2019-09-01 15:44:21";"2019-09-01 15:44:21"
