1,60,5,2019-09-01 15:44:25.768,2019-09-01 15:44:25.768
2,1,2,2019-09-01 15:44:25.788,2019-09-01 15:44:25.788
3,7,2,2019-09-01 15:44:25.788,2019-09-01 15:44:25.788
4,2,3,2019-09-01 15:44:25.788,2019-09-01 15:44:25.788
5,8,2,2019-09-01 15:44:25.789,2019-09-01 15:44:25.789
6,9,2,2019-09-01 15:44:25.789,2019-09-01 15:44:25.789
7,5,3,2019-09-01 15:44:25.789,2019-09-01 15:44:25.789
8,15,4,2019-09-01 15:44:25.789,2019-09-01 15:44:25.789
9,23,2,2019-09-01 15:44:25.790,2019-09-01 15:44:25.790
10,18,2,2019-09-01 15:44:25.790,2019-09-01 15:44:25.790
11,25,4,2019-09-01 15:44:25.790,2019-09-01 15:44:25.790
12,26,1,2019-09-01 15:44:25.790,2019-09-01 15:44:25.790
13,22,4,2019-09-01 15:44:25.791,2019-09-01 15:44:25.791
14,28,4,2019-09-01 15:44:25.791,2019-09-01 15:44:25.791
15,29,2,2019-09-01 15:44:25.791,2019-09-01 15:44:25.791
16,30,3,2019-09-01 15:44:25.792,2019-09-01 15:44:25.792
17,31,2,2019-09-01 15:44:25.792,2019-09-01 15:44:25.792
18,21,4,2019-09-01 15:44:25.792,2019-09-01 15:44:25.792
19,16,4,2019-09-01 15:44:25.792,2019-09-01 15:44:25.792
20,17,3,2019-09-01 15:44:25.793,2019-09-01 15:44:25.793
21,20,2,2019-09-01 15:44:25.953,2019-09-01 15:44:25.953
22,33,5,2019-09-01 15:44:25.954,2019-09-01 15:44:25.954
23,34,2,2019-09-01 15:44:25.954,2019-09-01 15:44:25.954
24,35,1,2019-09-01 15:44:25.954,2019-09-01 15:44:25.954
25,24,2,2019-09-01 15:44:25.954,2019-09-01 15:44:25.954
26,27,1,2019-09-01 15:44:25.955,2019-09-01 15:44:25.955
27,41,4,2019-09-01 15:44:25.955,2019-09-01 15:44:25.955
28,36,2,2019-09-01 15:44:25.955,2019-09-01 15:44:25.955
29,43,3,2019-09-01 15:44:25.955,2019-09-01 15:44:25.955
30,44,3,2019-09-01 15:44:25.956,2019-09-01 15:44:25.956
31,38,3,2019-09-01 15:44:25.956,2019-09-01 15:44:25.956
32,46,2,2019-09-01 15:44:25.956,2019-09-01 15:44:25.956
33,47,2,2019-09-01 15:44:25.956,2019-09-01 15:44:25.956
34,42,4,2019-09-01 15:44:25.957,2019-09-01 15:44:25.957
35,49,2,2019-09-01 15:44:26.078,2019-09-01 15:44:26.078
36,45,3,2019-09-01 15:44:26.078,2019-09-01 15:44:26.078
37,51,1,2019-09-01 15:44:26.078,2019-09-01 15:44:26.078
38,40,4,2019-09-01 15:44:26.078,2019-09-01 15:44:26.078
39,53,5,2019-09-01 15:44:26.079,2019-09-01 15:44:26.079
40,48,1,2019-09-01 15:44:26.079,2019-09-01 15:44:26.079
41,55,5,2019-09-01 15:44:26.079,2019-09-01 15:44:26.079
42,50,1,2019-09-01 15:44:26.079,2019-09-01 15:44:26.079
43,57,5,2019-09-01 15:44:26.079,2019-09-01 15:44:26.079
44,58,5,2019-09-01 15:44:26.080,2019-09-01 15:44:26.080
45,59,5,2019-09-01 15:44:26.080,2019-09-01 15:44:26.080
46,11,2,2019-09-01 15:44:26.080,2019-09-01 15:44:26.080
47,6,1,2019-09-01 15:44:26.081,2019-09-01 15:44:26.081
48,13,2,2019-09-01 15:44:26.081,2019-09-01 15:44:26.081
49,56,5,2019-09-01 15:44:26.082,2019-09-01 15:44:26.082
50,52,1,2019-09-01 15:44:26.082,2019-09-01 15:44:26.082
51,54,5,2019-09-01 15:44:26.082,2019-09-01 15:44:26.082
52,61,3,2019-09-01 15:44:26.083,2019-09-01 15:44:26.083
53,19,2,2019-09-01 15:44:26.083,2019-09-01 15:44:26.083
54,10,2,2019-09-01 15:44:26.083,2019-09-01 15:44:26.083
55,3,3,2019-09-01 15:44:26.083,2019-09-01 15:44:26.083
56,12,2,2019-09-01 15:44:26.083,2019-09-01 15:44:26.083
57,4,3,2019-09-01 15:44:26.084,2019-09-01 15:44:26.084
58,14,4,2019-09-01 15:44:26.084,2019-09-01 15:44:26.084
59,39,4,2019-09-01 15:44:26.085,2019-09-01 15:44:26.085
60,37,2,2019-09-01 15:44:26.085,2019-09-01 15:44:26.085
61,32,1,2019-09-01 15:44:26.085,2019-09-01 15:44:26.085
